,playername,kda,kills,deaths,assists,damagetochampions,dpm,damagetakenperminute,damagemitigatedperminute,visionscore,totalgold,total cs,cspm
0,Casting,1.44,7,9,6,19292.0,591.39,845.4,810.37,34.67,13115.33,267.67,8.2
1,Clear,2.55,216,238,392,16025.65,494.24,746.56,1008.87,32.02,12453.51,264.72,8.28
2,DnDn,1.68,86,153,171,14080.25,434.22,802.66,1278.18,37.78,12248.25,275.84,8.55
3,Doran,3.23,280,292,664,16882.94,535.78,789.46,910.06,36.52,12414.38,253.23,8.0
4,DuDu,2.75,229,215,363,15746.26,483.87,834.88,1119.86,30.57,13015.3,286.34,8.85
5,Frog,2.2,26,56,97,11839.76,379.91,775.65,900.17,30.52,10526.67,231.76,7.64
6,Kiin,4.42,292,207,623,17491.56,554.13,727.17,1029.86,37.82,12731.58,255.22,8.13
7,Kingen,2.94,271,278,545,17488.73,528.98,745.37,905.56,39.47,13014.63,271.75,8.08
8,Mihile,1.94,55,88,116,15552.48,482.74,839.78,951.14,35.86,12156.17,265.48,8.27
9,Morgan,1.9,169,245,297,15880.79,487.12,848.32,1028.07,34.6,11838.99,263.93,8.32
10,PerfecT,2.82,204,238,467,15500.39,472.5,754.52,1066.86,39.98,12261.87,257.61,7.87
11,Rascal,1.55,103,182,180,13485.58,407.16,810.58,1025.93,37.81,11934.63,265.55,8.19
12,Zeus,2.95,354,296,519,17955.0,560.67,750.26,822.75,34.84,13266.98,271.69,8.51
