,playername,goldat10,xpat10,csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,goldat15,xpat15,csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,goldat20,xpat20,csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,goldat25,xpat25,csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25
0,Casting,3602.33,4909.33,82.67,352.67,158.0,6.33,0.67,0.33,0.67,6044.33,7443.0,126.33,964.33,97.0,4.33,1.33,1.0,0.67,7821.33,10124.67,171.33,827.0,220.0,3.67,1.33,1.33,1.0,9750.0,12423.33,213.67,488.67,-618.0,0.67,1.67,1.33,1.67
1,Clear,3328.64,4843.5,82.95,-63.94,-33.09,-2.81,0.18,0.18,0.23,5244.97,7549.51,130.05,-97.32,-132.74,-5.23,0.52,0.57,0.67,7351.66,10294.35,177.38,-78.4,-214.81,-7.19,1.01,1.25,1.02,9412.05,13005.37,220.35,-165.28,-396.85,-7.94,1.41,2.12,1.51
2,DnDn,3294.53,4859.13,82.15,-52.02,-39.44,-1.93,0.2,0.15,0.27,5126.31,7679.15,131.76,-234.29,-149.29,-3.69,0.38,0.38,0.6,7082.53,10342.09,179.15,-566.58,-471.31,-8.33,0.62,0.73,1.11,9161.94,13154.0,223.79,-818.81,-720.57,-9.34,0.94,1.43,1.74
3,Doran,3278.77,4730.32,79.17,-13.14,33.07,-0.43,0.22,0.28,0.38,5253.42,7494.64,127.15,113.62,118.85,0.54,0.55,0.83,0.74,7343.14,10146.57,172.85,184.79,119.11,-0.13,0.91,1.64,1.14,9412.63,12878.69,210.77,341.06,467.36,1.65,1.49,3.16,1.62
4,DuDu,3318.6,4833.73,83.26,-24.57,-33.7,0.12,0.27,0.12,0.24,5300.33,7700.86,134.12,28.97,39.63,2.73,0.6,0.42,0.62,7434.94,10532.56,184.94,52.78,63.32,5.52,0.92,0.89,1.0,9522.36,13283.1,229.44,138.01,121.17,10.3,1.36,1.8,1.4
5,Frog,3237.1,4807.43,83.0,-248.71,-208.9,-6.81,0.05,0.05,0.29,4905.95,7396.71,126.57,-562.24,-323.52,-13.05,0.14,0.57,0.71,6675.38,9817.62,169.24,-953.33,-704.43,-19.19,0.33,0.95,1.14,8493.6,12308.7,204.8,-1224.2,-1055.1,-24.7,0.75,2.3,1.6
6,Kiin,3387.22,4781.69,81.33,184.54,148.1,5.44,0.34,0.25,0.39,5382.81,7560.42,131.0,365.59,291.93,8.94,0.61,0.69,0.64,7509.25,10351.38,177.71,489.09,468.75,10.17,1.06,1.49,1.03,9591.9,13025.59,214.29,729.97,714.78,8.17,1.77,2.74,1.33
7,Kingen,3303.56,4723.44,79.77,7.86,22.82,0.05,0.3,0.17,0.29,5177.2,7507.04,127.96,-25.86,87.21,0.86,0.6,0.58,0.61,7352.51,10309.57,174.91,72.59,185.81,1.06,1.1,1.51,1.02,9405.76,13070.53,215.94,118.7,410.55,2.61,1.55,2.51,1.42
8,Mihile,3124.14,4570.86,74.9,-242.34,-46.1,-4.83,0.14,0.21,0.55,4991.59,7309.76,123.17,-462.48,-99.48,-5.93,0.41,0.69,0.9,6956.72,10016.31,171.38,-731.0,-219.34,-5.62,0.66,1.52,1.31,8905.5,12719.36,214.14,-849.68,-243.25,-3.68,1.04,1.96,1.89
9,Morgan,3288.43,4818.67,82.71,-42.52,-111.34,-1.59,0.15,0.17,0.28,5191.06,7578.12,131.29,-174.57,-204.8,-2.76,0.51,0.54,0.66,7244.6,10308.56,179.6,-264.43,-240.82,-1.44,0.91,1.17,1.13,9133.79,12731.16,218.71,-562.64,-785.36,-4.22,1.31,1.85,1.85
10,PerfecT,3319.84,4850.63,81.76,14.85,47.48,0.71,0.22,0.2,0.32,5161.24,7553.34,128.24,-125.41,-41.98,-1.87,0.46,0.57,0.73,7202.91,10256.23,174.51,-190.63,-132.73,-5.06,0.8,1.23,1.12,9047.82,12787.89,211.62,-324.11,-200.21,-8.1,1.17,2.25,1.52
11,Rascal,3206.92,4758.77,79.19,-206.32,-107.94,-5.92,0.16,0.19,0.27,5147.42,7513.74,127.65,-274.39,-189.98,-9.61,0.53,0.5,0.55,7175.45,10216.47,175.79,-532.66,-306.73,-11.06,0.84,0.89,1.08,9094.18,12661.72,215.86,-830.7,-778.74,-13.11,1.21,1.65,1.56
12,Zeus,3375.29,4738.41,81.43,161.11,28.35,4.55,0.27,0.22,0.38,5411.55,7525.88,131.08,322.58,45.37,6.77,0.57,0.57,0.82,7655.63,10359.61,180.92,574.97,251.01,11.21,1.11,1.22,1.17,9841.09,13077.4,220.69,863.31,472.11,13.17,1.92,2.13,1.69
